incident_id,detected_at,asset_id,user_id,threat_actor_id,attack_vector,severity,status,mttr_hours,time_to_detect_hours,time_to_contain_hours,cost_usd,data_sensitivity,detection_source,alert_count,cvss_like,mitre_tactic,mitre_technique,severity_score,risk_score,mttr_bucket,date,hour
87,2025-02-01 03:36:00,189,131,21,Malware,Medium,Closed,11,2,22,3881.1,Internal,User Report,3,8.4,Exfiltration,T1190,2,5.102,4-24h,2025-02-01,3
88,2023-11-15 01:37:00,275,195,25,Malware,Low,Closed,8,4,5,12.65,Restricted,User Report,3,6.9,Discovery,T1210,1,2.343,4-24h,2023-11-15,1
89,2025-03-27 21:59:00,65,533,43,Exploitation,Medium,Open,10,7,6,1302.31,Confidential,Email Gateway,3,7.5,Exfiltration,T1078,2,4.852,4-24h,2025-03-27,21
90,2023-04-20 12:00:00,276,472,21,Exploitation,High,Closed,1,4,20,640.36,Public,Siem,3,8.4,Defense Evasion,T1078,3,7.652,<4h,2023-04-20,12
91,2024-05-26 21:29:00,76,291,10,Malware,High,Closed,2,3,4,2691.12,Confidential,Waf,5,7.5,Impact,T1190,3,9.407,<4h,2024-05-26,21
92,2024-09-05 10:19:00,258,127,18,Insider,Critical,In Progress,21,24,10,7411.72,Public,Waf,1,10.0,Exfiltration,T1003,4,5.545,4-24h,2024-09-05,10
93,2024-10-08 06:31:00,150,386,4,Ransomware,Medium,In Progress,12,2,5,109.93,Public,Ids,2,7.1,Persistence,T1078,2,3.757,4-24h,2024-10-08,6
94,2025-05-18 23:59:00,116,54,50,Phishing,Medium,Closed,1,4,6,4891.45,Confidential,Siem,2,10.0,Collection,T1021,2,4.394,<4h,2025-05-18,23
95,2023-11-03 21:58:00,82,23,36,Phishing,Low,Closed,8,1,4,1763.86,Confidential,Unknown,1,6.3,Discovery,T1021,1,1.13,4-24h,2023-11-03,21
96,2024-11-25 15:22:00,201,401,5,Phishing,Medium,Closed,6,2,2,2138.32,Public,Email Gateway,2,6.8,Defense Evasion,T1041,2,3.691,4-24h,2024-11-25,15
97,2024-12-14 06:44:00,281,404,7,Exploitation,Medium,Open,3,17,1,853.12,Internal,Siem,1,6.7,Discovery,T1547,2,2.315,<4h,2024-12-14,6
98,2025-06-05 01:54:00,156,469,42,Phishing,Medium,Open,11,1,4,2492.4,Confidential,Siem,3,5.3,Exfiltration,T1059,2,4.242,4-24h,2025-06-05,1
99,2024-03-28 22:30:00,150,149,14,Ransomware,Medium,Closed,11,3,4,2691.29,Internal,Siem,3,5.3,Privilege Escalation,T1565,2,4.242,4-24h,2024-03-28,22
100,2023-01-10 11:46:00,295,105,44,Exploitation,High,Open,26,6,7,182.22,Internal,Siem,4,7.4,Lateral Movement,T1021,3,8.401,1-3d,2023-01-10,11
101,2024-11-26 05:59:00,29,99,23,Phishing,Medium,Closed,4,2,5,5635.81,Internal,User Report,3,10.0,Persistence,T1190,2,5.545,<4h,2024-11-26,5
102,2023-05-01 16:41:00,174,445,10,Phishing,Medium,Closed,26,4,5,1742.79,Confidential,Waf,5,7.5,Lateral Movement,T1078,2,6.271,1-3d,2023-05-01,16
103,2023-02-04 03:15:00,204,501,20,Ransomware,Medium,Closed,9,28,2,1435.44,Public,Waf,3,7.0,Exfiltration,T1059,2,4.713,4-24h,2023-02-04,3
104,2024-10-30 23:24:00,46,475,42,Phishing,Medium,In Progress,4,9,6,3372.42,Internal,User Report,5,6.9,Defense Evasion,T1565,2,6.056,<4h,2024-10-30,23
105,2024-10-30 14:23:00,6,123,8,Phishing,Low,Closed,3,2,21,4162.68,Confidential,Edr,1,6.7,Execution,T1003,1,1.158,<4h,2024-10-30,14
106,2024-10-18 21:58:00,261,231,2,Phishing,Low,Open,2,11,4,4173.84,Confidential,Email Gateway,1,9.1,Exfiltration,T1547,1,1.324,<4h,2024-10-18,21
107,2024-05-06 08:44:00,49,186,25,Phishing,High,Closed,46,1,12,7585.76,Restricted,User Report,3,7.2,Impact,T1021,3,7.153,1-3d,2024-05-06,8
108,2023-11-02 18:08:00,51,334,5,Insider,Low,In Progress,6,20,6,3083.59,Internal,Waf,5,8.2,Command And Control,T1059,1,3.261,4-24h,2023-11-02,18
109,2024-02-20 22:01:00,202,570,35,Malware,High,Closed,3,4,12,6578.58,Internal,Email Gateway,3,4.7,Collection,T1566,3,6.114,<4h,2024-02-20,22
110,2024-06-15 18:34:00,64,213,43,Phishing,Low,Closed,13,7,4,4182.86,Confidential,Edr,4,5.0,Persistence,T1547,1,2.414,4-24h,2024-06-15,18
111,2024-12-12 05:00:00,285,458,21,Exploitation,Medium,Closed,5,3,10,326.07,Internal,Edr,6,6.5,Initial Access,T1059,2,6.422,4-24h,2024-12-12,5
112,2024-08-11 06:41:00,83,90,36,Exploitation,Medium,Closed,1,3,3,1242.2,Confidential,Ids,5,7.2,Initial Access,T1566,2,6.164,<4h,2024-08-11,6
113,2023-05-08 16:19:00,187,558,11,Phishing,Medium,Open,2,8,5,1645.75,Confidential,User Report,3,6.9,Impact,T1190,2,4.686,<4h,2023-05-08,16
114,2023-09-12 09:02:00,266,301,43,Malware,Medium,Closed,19,28,7,2257.62,Confidential,Email Gateway,3,7.3,Collection,T1059,2,4.797,4-24h,2023-09-12,9
115,2024-08-13 15:44:00,161,536,23,Insider,High,Open,4,6,10,2109.12,Restricted,Email Gateway,3,6.2,Command And Control,T1055,3,6.737,<4h,2024-08-13,15
116,2023-08-03 22:06:00,23,243,3,Credential Stuffing,Medium,Closed,9,6,6,1236.54,Internal,Siem,4,3.7,Persistence,T1041,2,4.41,4-24h,2023-08-03,22
117,2025-05-26 06:08:00,283,222,38,Exploitation,Low,Closed,8,3,2,4991.74,Confidential,Ids,3,2.9,Defense Evasion,T1059,1,1.788,4-24h,2025-05-26,6
118,2025-01-16 19:27:00,39,564,17,Malware,Medium,Closed,5,9,2,3086.35,Internal,Ids,1,6.2,Lateral Movement,T1565,2,2.246,4-24h,2025-01-16,19
119,2025-07-14 05:25:00,234,86,17,Exploitation,Low,Closed,10,7,6,923.22,Internal,Waf,2,9.6,Lateral Movement,T1059,1,2.153,4-24h,2025-07-14,5
120,2024-07-02 06:04:00,138,198,46,Insider,Low,In Progress,2,11,4,5308.87,Internal,Ids,2,5.2,Exfiltration,T1565,1,1.67,<4h,2024-07-02,6
121,2024-10-25 16:38:00,84,430,10,Malware,Medium,Closed,7,6,7,1751.2,Confidential,Ids,2,8.0,Lateral Movement,T1021,2,3.955,4-24h,2024-10-25,16
122,2023-01-27 19:15:00,40,277,8,Phishing,High,Open,4,2,3,3941.56,Internal,Email Gateway,5,3.6,Execution,T1565,3,7.31,<4h,2023-01-27,19
123,2024-07-15 13:04:00,169,92,24,Ransomware,Critical,In Progress,6,3,3,1688.94,Confidential,Ids,2,7.6,Defense Evasion,T1059,4,7.734,4-24h,2024-07-15,13
124,2025-06-08 07:17:00,6,101,25,Phishing,Low,Closed,5,4,6,1515.76,Confidential,Siem,5,5.8,Lateral Movement,T1566,1,2.831,4-24h,2025-06-08,7
125,2025-03-12 03:11:00,270,314,38,Malware,Medium,In Progress,15,1,8,236.13,Internal,User Report,4,4.6,Execution,T1055,2,4.7,4-24h,2025-03-12,3
126,2023-12-24 22:36:00,145,565,18,Insider,Medium,In Progress,7,3,5,2614.61,Public,Email Gateway,3,6.2,Execution,T1190,2,4.492,4-24h,2023-12-24,22
127,2023-06-24 10:48:00,200,186,23,Malware,Medium,Open,2,6,12,2461.82,Internal,Waf,3,9.2,Impact,T1055,2,5.323,<4h,2023-06-24,10
128,2024-07-18 19:56:00,207,489,38,Insider,Low,In Progress,10,3,3,3866.65,Confidential,Siem,3,10.0,Defense Evasion,T1190,1,2.773,4-24h,2024-07-18,19
129,2024-12-04 16:45:00,80,130,10,Phishing,Low,Closed,20,2,4,1197.4,Internal,User Report,1,5.5,Exfiltration,T1041,1,1.074,4-24h,2024-12-04,16
130,2023-02-24 23:40:00,190,256,44,Ransomware,High,Open,3,4,5,4891.66,Public,Email Gateway,5,6.0,Lateral Movement,T1003,3,8.6,<4h,2023-02-24,23
131,2023-07-07 14:22:00,240,515,19,Phishing,Low,Closed,3,1,3,3883.8,Confidential,Ids,2,6.0,Lateral Movement,T1055,1,1.758,<4h,2023-07-07,14
132,2025-01-05 07:19:00,45,313,27,Malware,Medium,In Progress,1,4,9,1371.84,Internal,Ids,5,7.7,Execution,T1565,2,6.343,<4h,2025-01-05,7
133,2023-03-23 02:46:00,123,96,11,Malware,High,Closed,19,3,6,5285.64,Confidential,Email Gateway,2,10.0,Initial Access,T1566,3,6.592,4-24h,2023-03-23,2
134,2025-01-31 09:35:00,253,11,28,Credential Stuffing,Medium,In Progress,3,12,2,2094.17,Internal,Waf,3,10.0,Command And Control,T1059,2,5.545,<4h,2025-01-31,9
135,2024-05-06 15:32:00,273,128,26,Insider,Medium,Closed,6,7,10,1381.17,Confidential,Edr,2,8.2,Exfiltration,T1078,2,3.999,4-24h,2024-05-06,15
136,2025-07-21 23:00:00,218,548,48,Ddos,Medium,Closed,2,6,3,3275.01,Restricted,Ids,3,8.2,Privilege Escalation,T1565,2,5.046,<4h,2025-07-21,23
137,2025-07-31 16:43:00,22,460,11,Phishing,Low,Closed,16,3,2,4511.09,Confidential,Unknown,2,7.7,Command And Control,T1078,1,1.945,4-24h,2025-07-31,16
138,2023-06-29 02:23:00,69,527,23,Malware,Medium,Closed,10,7,3,835.07,Internal,Unknown,1,7.6,Lateral Movement,T1003,2,2.44,4-24h,2023-06-29,2
139,2024-01-24 05:23:00,58,347,44,Malware,Medium,Closed,10,9,8,1332.15,Restricted,Siem,2,5.2,Command And Control,T1566,2,3.34,4-24h,2024-01-24,5
140,2023-10-25 09:30:00,151,272,14,Exploitation,Medium,In Progress,9,20,13,4416.05,Unknown,Edr,5,3.2,Impact,T1547,2,4.73,4-24h,2023-10-25,9
141,2024-02-08 06:59:00,157,528,3,Malware,Medium,In Progress,47,2,6,2664.2,Confidential,User Report,1,10.0,Exfiltration,T1003,2,2.773,1-3d,2024-02-08,6
142,2023-02-28 11:00:00,236,337,20,Malware,Low,Closed,3,1,9,1509.2,Internal,Ids,1,8.3,Execution,T1190,1,1.268,<4h,2023-02-28,11
143,2023-12-25 23:11:00,206,364,1,Phishing,Medium,Closed,27,6,3,1437.59,Internal,Edr,3,5.4,Lateral Movement,T1003,2,4.27,1-3d,2023-12-25,23
144,2023-07-22 02:33:00,264,158,27,Malware,Medium,Open,12,2,6,3855.09,Internal,Edr,1,6.0,Collection,T1190,2,2.218,4-24h,2023-07-22,2
145,2023-06-09 21:16:00,116,482,26,Exploitation,Medium,Closed,1,8,4,863.52,Public,Ids,7,4.0,Defense Evasion,T1210,2,5.822,<4h,2023-06-09,21
146,2024-03-14 05:34:00,138,112,29,Insider,Low,Open,1,7,5,3247.26,Confidential,Waf,2,6.4,Collection,T1059,1,1.802,<4h,2024-03-14,5
147,2023-05-24 11:47:00,223,6,23,Ddos,Medium,Open,3,5,13,1765.76,Confidential,Waf,3,5.4,Privilege Escalation,T1566,2,4.27,<4h,2023-05-24,11
148,2023-07-14 09:02:00,69,405,27,Exploitation,Medium,Open,23,5,9,483.39,Restricted,Waf,3,5.1,Discovery,T1190,2,4.187,4-24h,2023-07-14,9
149,2023-06-14 21:12:00,246,273,8,Malware,Medium,Closed,11,1,5,1008.24,Public,User Report,2,7.9,Collection,T1055,2,3.933,4-24h,2023-06-14,21
150,2024-05-22 21:45:00,66,333,49,Credential Stuffing,Medium,Closed,4,12,5,1659.51,Restricted,User Report,2,4.6,Command And Control,T1021,2,3.208,<4h,2024-05-22,21
151,2023-05-15 03:06:00,11,130,10,Malware,High,In Progress,8,6,8,2303.4,Internal,Ids,6,3.2,Command And Control,T1190,3,7.706,4-24h,2023-05-15,3
152,2025-02-24 21:15:00,27,351,28,Malware,Critical,Closed,3,12,10,7848.64,Internal,Email Gateway,3,5.4,Initial Access,T1021,4,8.54,<4h,2025-02-24,21
153,2024-05-06 09:18:00,249,85,49,Phishing,High,In Progress,25,1,16,1509.3,Public,User Report,2,4.0,Privilege Escalation,T1547,3,4.614,1-3d,2024-05-06,9
154,2023-06-06 23:32:00,96,256,18,Exploitation,Medium,Closed,1,16,11,29.6,Internal,Edr,1,10.0,Defense Evasion,T1078,2,2.773,<4h,2023-06-06,23
